Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2459.1,2
"Southeast Freeze (March 2017)","Freeze",20170314,20170316,1130.0,0
"South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,3045.4,0
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1874.8,20
"Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,3785.5,0
"Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017)","Severe Storm",20170609,20170611,2655.5,0
"Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1705.3,0
"Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1610.3,0
"Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,138750.0,89
"Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,55500.0,97
"Hurricane Maria (September 2017)","Tropical Cyclone",20170919,20170921,99900.0,2981
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)","Drought",20170301,20171231,2775.0,0
"Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,19985.6,54
"Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1147.3,22
"Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2413.4,9
"Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1597.2,0
"Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1436.9,3
"Central and Northeastern Severe Weather (May 2018)","Severe Storm",20180501,20180504,1529.0,0
"Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1493.3,5
"Texas Hail Storm (June 2018)","Severe Storm",20180606,20180606,1417.0,0
"Colorado Hail Storm (June 2018)","Severe Storm",20180618,20180619,2423.1,0
"Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1727.9,0
"Rockies and Plains Hail Storms (August 2018)","Severe Storm",20180806,20180807,1107.0,0
"Hurricane Florence (September 2018)","Tropical Cyclone",20180913,20180916,25920.0,53
"Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,26973.0,49
"Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3259.2,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,26160.0,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)","Severe Storm",20190223,20190225,1336.4,2
"Texas Hail Storm (March 2019)","Severe Storm",20190322,20190324,1657.8,0
"Missouri River and North Central Flooding (March 2019)","Flooding",20190314,20190331,11585.1,3
"Southern and Eastern Tornadoes and Severe Weather (April 2019)","Severe Storm",20190413,20190414,1339.7,7
"South and Southeast Severe Weather (May 2019)","Severe Storm",20190507,20190513,1620.2,0
"Central Severe Weather (May 2019)","Severe Storm",20190516,20190518,1041.1,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)","Severe Storm",20190526,20190529,4812.9,3
"Arkansas River Flooding (June 2019)","Flooding",20190520,20190614,3236.8,5
"Colorado Hail Storms (July 2019)","Severe Storm",20190704,20190705,1078.6,0
"Mississippi River, Midwest and Southern Flooding (July 2019)","Flooding",20190315,20190731,6662.5,4
"Hurricane Dorian (September 2019)","Tropical Cyclone",20190828,20190906,1722.7,10
"Tropical Storm Imelda (September 2019)","Tropical Cyclone",20190917,20190921,5350.0,5
"Texas Tornadoes and Central Severe Weather (October 2019)","Severe Storm",20191020,20191020,1821.2,2
"California and Alaska Wildfires (Summer-Fall 2019)","Wildfire",20190601,20191130,4815.0,3
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)","Severe Storm",20200110,20200112,1217.9,10
"South, East and Northeast Severe Weather (February 2020)","Severe Storm",20200205,20200207,1331.4,3
"Tennessee Tornadoes and Southeast Severe Weather (March 2020)","Severe Storm",20200302,20200304,2476.2,25
"Midwest and Ohio Valley Severe Weather (March 2020)","Severe Storm",20200327,20200328,2711.5,0
"North Central and Ohio Valley Hail Storms and Severe Weather (April 2020)","Severe Storm",20200407,20200408,3083.0,0
"Southeast and Eastern Tornado Outbreak (April 2020)","Severe Storm",20200412,20200413,3685.3,35
"Southern Severe Weather (April 2020)","Severe Storm",20200421,20200423,1444.7,3
"Central, Southern and Eastern Severe Weather (April 2020)","Severe Storm",20200427,20200430,1098.9,1
"Central and Eastern Severe Weather (May 2020)","Severe Storm",20200503,20200505,2261.0,2
"South, Central and Eastern Severe Weather (May 2020)","Severe Storm",20200520,20200523,1694.8,2
"South Texas Hail Storms (May 2020)","Severe Storm",20200527,20200527,1498.0,0
"Central Severe Weather (July 2020)","Severe Storm",20200710,20200711,1267.8,0
"Hurricane Hanna (July 2020)","Tropical Cyclone",20200725,20200726,1128.8,0
"Hurricane Isaias (August 2020)","Tropical Cyclone",20200803,20200804,4995.1,16
"Central Severe Weather - Derecho (August 2020)","Severe Storm",20200810,20200810,11688.6,4
"Hurricane Laura (August 2020)","Tropical Cyclone",20200827,20200828,19939.6,42
"Hurricane Sally (September 2020)","Tropical Cyclone",20200915,20200917,7637.8,5
"Hurricane Delta (October 2020)","Tropical Cyclone",20201009,20201011,3010.6,5
"Hurricane Zeta (October 2020)","Tropical Cyclone",20201028,20201029,4569.7,6
"Tropical Storm Eta (November 2020)","Tropical Cyclone",20201108,20201112,1533.1,12
"Western/Central Drought and Heatwave (Summer-Fall 2020)","Drought",20200601,20201230,4720.1,45
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)","Wildfire",20200801,20201230,17272.5,46
"California Flooding and Severe Weather (January 2021)","Flooding",20210124,20210129,1149.8,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)","Winter Storm",20210210,20210219,20775.0,172
"Southeast Tornadoes and Severe Weather (March 2021)","Severe Storm",20210324,20210325,1727.5,6
"Eastern Severe Weather (March 2021)","Severe Storm",20210327,20210328,1386.7,8
"Texas Hail Storms (April 2021)","Severe Storm",20210412,20210415,1519.3,0
"Texas and Oklahoma Severe Weather (April 2021)","Severe Storm",20210427,20210428,3243.5,0
"Southern Tornadoes and Southeast Severe Weather (May 2021)","Severe Storm",20210502,20210504,1289.2,4
"Louisiana Flooding (May 2021)","Flooding",20210515,20210519,1358.5,5
"Ohio Valley Hail Storms (June 2021)","Severe Storm",20210617,20210618,1724.3,0
"Central Severe Storms (June 2021)","Severe Storm",20210624,20210626,1265.6,0
"Tropical Storm Elsa (July 2021)","Tropical Cyclone",20210707,20210709,1213.0,1
"Central Severe Storms (July 2021)","Severe Storm",20210708,20210711,1080.0,0
"North Central Severe Weather (August 2021)","Severe Storm",20210810,20210813,1284.0,2
"Tropical Storm Fred (August 2021)","Tropical Cyclone",20210816,20210818,1277.0,7
"Hurricane Ida (August 2021)","Tropical Cyclone",20210829,20210901,64460.5,96
"Hurricane Nicholas (September 2021)","Tropical Cyclone",20210914,20210918,TBD,0
"Western Drought and Heatwave (2021)","Drought",20210101,20210930,TBD,229
"Western Wildfires (Summer-Fall 2021)","Wildfire",20210601,20210930,TBD,6
