Ship To Country,Item ID,Amount
DEU,mb076,8.69
DEU,mb118,8.69
DEU,mb0710,8.07
DEU,ga587,7.8
DEU,BB-45-T-PurpleSunshine,7.7
DEU,TAG-033-R-1-061,7.56
DEU,MB046,7.45
DEU,MB049,7.45
DEU,2MLB,7.0
DEU,MB022,6.83
DEU,MB091,6.83
DEU,mb0412,6.83
DEU,TAG-033-R-1-002,6.48
DEU,TAG-033-R-1-008,6.48
DEU,MB104,6.21
DEU,goac5w,6.21
DEU,TAG-033-R-1-001,6.05
DEU,GOS3W,6.0
DEU,TAG-033-R-1-004,5.4
DEU,gmth6,5.1
DEU,MB011,4.97
DEU,ABR Glass Cut,4.6899999999999995
DEU,BB-22-B-TangerineDream,4.45
DEU,gmth4,3.75
DEU,10680,3.4
DEU,10682,3.0
DEU,2MJW,3.0
DEU,10681,1.6
DEU,3MWHITE,0.0
DEU,DVD210,0.0
DEU,TAG-033-F-M-027,0.0
DEU,TAG-033-R-1-070,0.0
DEU,gaf54882,0.0
FRANCE,No Item ID,1802.17
FRANCE,ns54,792.0
FRANCE,TAG-033-R-1-002,675.0
FRANCE,CLAW11,500.0
FRANCE,claw 6,468.0
FRANCE,TAG-033-R-1-005,396.9
FRANCE,854-300,378.0
FRANCE,ns77,374.4
FRANCE,parallel masher-e,242.59
FRANCE,TAG-033-R-1-037,218.7
FRANCE,BB-SamplePack-Full,180.2
FRANCE,parallel leaf masher-e,157.5
FRANCE,bunsen122,140.0
FRANCE,ACT-BGTC32,125.0
FRANCE,TAG-033-R-2-005,113.4
FRANCE,NCDKBROWN,108.0
FRANCE,854-203,105.47
FRANCE,NCSAMPLESET,103.46
FRANCE,AR-MagicWhite,103.34
FRANCE,Handling and-or cod fee,87.36
FRANCE,ns154,80.0
FRANCE,854-303,79.84
FRANCE,stumpshaper,75.6
FRANCE,BS-M-Bravo,75.0
FRANCE,854-203dsk-adpt,67.9
FRANCE,ds1/8-33samplepack2,59.95
FRANCE,MB012,56.93
FRANCE,850-000,56.7
FRANCE,NCGOLD,54.0
FRANCE,NCMINT,54.0
FRANCE,TAG-033-R-1-007,50.4
FRANCE,ttweezerb,47.92
FRANCE,854-710,45.0
FRANCE,854-712,45.0
